Epoch: 1, Train Loss: 2.6002860343591734, Val Loss: 1.9885979689084567, Took 0:03:13.839849, ETA: 0:29:04.558641

Epoch: 2, Train Loss: 1.8104449004273524, Val Loss: 1.6876899655048663, Took 0:03:14.513251, ETA: 0:25:56.106008

Epoch: 3, Train Loss: 1.5790555399249901, Val Loss: 1.550813104556157, Took 0:03:13.952625, ETA: 0:22:37.668375

Epoch: 4, Train Loss: 1.4436085002327508, Val Loss: 1.4530143682773298, Took 0:03:14.629025, ETA: 0:19:27.774150

Epoch: 5, Train Loss: 1.3341834961690686, Val Loss: 1.4260736098656288, Took 0:03:14.971511, ETA: 0:16:14.857555

Epoch: 6, Train Loss: 1.256660995496945, Val Loss: 1.393424496283898, Took 0:03:14.000387, ETA: 0:12:56.001548

Epoch: 7, Train Loss: 1.189671471037648, Val Loss: 1.3925561519769523, Took 0:03:14.304561, ETA: 0:09:42.913683

Epoch: 8, Train Loss: 1.1230686555870555, Val Loss: 1.3735210308661827, Took 0:03:16.039517, ETA: 0:06:32.079034

Epoch: 9, Train Loss: 1.0637658307836815, Val Loss: 1.3751744728821975, Took 0:03:19.864991, ETA: 0:03:19.864991

Epoch: 10, Train Loss: 1.0182515513151884, Val Loss: 1.3823399351193355, Took 0:03:15.304966, ETA: 0:00:00

Test Performance: Loss: 1.3951990372043546, Perplexity: 4.035777762620475, Bleu1: 65.01908158946681, Bleu4: 7.632960528194397
