Epoch: 1, Train Loss: 2.482066458260471, Val Loss: 1.8979618916144738, Took 0:03:14.504705, ETA: 0:29:10.542345

Epoch: 2, Train Loss: 1.715738347646865, Val Loss: 1.642327409524184, Took 0:03:13.939870, ETA: 0:25:51.518960

Epoch: 3, Train Loss: 1.5038523259149357, Val Loss: 1.5114921973301814, Took 0:03:19.938131, ETA: 0:23:19.566917

Epoch: 4, Train Loss: 1.3766728151928296, Val Loss: 1.436681472338163, Took 0:03:14.722622, ETA: 0:19:28.335732

Epoch: 5, Train Loss: 1.2664503997022456, Val Loss: 1.3765498821551982, Took 0:03:19.449796, ETA: 0:16:37.248980

Epoch: 6, Train Loss: 1.1987594472752376, Val Loss: 1.3925976762404808, Took 0:03:14.877090, ETA: 0:12:59.508360

Epoch: 7, Train Loss: 1.1235497085885569, Val Loss: 1.348208877673516, Took 0:03:14.243318, ETA: 0:09:42.729954

Epoch: 8, Train Loss: 1.057414912280034, Val Loss: 1.3560562647306003, Took 0:03:17.167240, ETA: 0:06:34.334480

Epoch: 9, Train Loss: 0.9986477018418637, Val Loss: 1.3695789960714486, Took 0:03:16.976707, ETA: 0:03:16.976707

Epoch: 10, Train Loss: 0.9563015938143838, Val Loss: 1.3719314474325914, Took 0:03:15.933815, ETA: 0:00:00

Test Performance: Loss: 1.4020543078244743, Perplexity: 4.063539158567033, Bleu1: 64.85332351696438, Bleu4: 7.285363857251012
