Epoch: 1, Train Loss: 2.665678632868962, Val Loss: 2.0206129991091215, Took 0:03:13.288233, ETA: 0:28:59.594097

Epoch: 2, Train Loss: 1.8706446764144031, Val Loss: 1.7612933433972873, Took 0:03:13.842808, ETA: 0:25:50.742464

Epoch: 3, Train Loss: 1.652675424279137, Val Loss: 1.5963050429637615, Took 0:03:15.183878, ETA: 0:22:46.287146

Epoch: 4, Train Loss: 1.489745573902672, Val Loss: 1.5143508626864506, Took 0:03:14.501360, ETA: 0:19:27.008160

Epoch: 5, Train Loss: 1.3864437392489477, Val Loss: 1.4532686196840727, Took 0:03:14.166730, ETA: 0:16:10.833650

Epoch: 6, Train Loss: 1.3055927712808957, Val Loss: 1.423039878331698, Took 0:03:14.474227, ETA: 0:12:57.896908

Epoch: 7, Train Loss: 1.2317225296388974, Val Loss: 1.3984678130883437, Took 0:03:14.444748, ETA: 0:09:43.334244

Epoch: 8, Train Loss: 1.1785406814041464, Val Loss: 1.3989175246312069, Took 0:03:13.999374, ETA: 0:06:27.998748

Epoch: 9, Train Loss: 1.1316218682649462, Val Loss: 1.358587776697599, Took 0:03:14.600877, ETA: 0:03:14.600877

Epoch: 10, Train Loss: 1.0743593468584798, Val Loss: 1.349551723553584, Took 0:03:16.057306, ETA: 0:00:00

Test Performance: Loss: 1.37588753336567, Perplexity: 3.958588543674474, Bleu1: 66.51618972674305, Bleu4: 7.512312350631684
